epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0926,1.598,2.35774,1.76216,0.4974,0.33556,0.34249,0.16032,1.84926,3.18323,2.21875,0.000553219,0.000553219,0.000553219
2,65.6813,1.64511,2.13775,1.82173,0.29936,0.31323,0.24303,0.09974,1.99254,2.80454,2.32787,0.00108693,0.00108693,0.00108693
3,97.2344,1.66274,2.10707,1.83406,0.36461,0.30428,0.24332,0.09661,2.15813,3.62513,2.48134,0.00159864,0.00159864,0.00159864
4,128.703,1.62597,2.01373,1.80789,0.47802,0.39405,0.38056,0.17846,1.85487,2.54199,2.15458,0.00156798,0.00156798,0.00156798
5,160.496,1.59314,1.94792,1.7774,0.58515,0.41822,0.46242,0.23329,1.7662,2.29238,2.0093,0.00153497,0.00153497,0.00153497
6,191.753,1.53843,1.85847,1.74027,0.59981,0.43098,0.46753,0.23068,1.7989,2.08331,2.03567,0.00150197,0.00150197,0.00150197
7,222.287,1.51804,1.79516,1.71497,0.61238,0.44989,0.50479,0.26968,1.70036,1.93486,1.92909,0.00146896,0.00146896,0.00146896
8,253.786,1.4843,1.74489,1.69916,0.6108,0.4576,0.51771,0.27173,1.69095,2.07157,1.9142,0.00143595,0.00143595,0.00143595
9,285.183,1.45713,1.68348,1.68144,0.66039,0.51033,0.55726,0.29105,1.64378,1.81626,1.86785,0.00140295,0.00140295,0.00140295
10,315.218,1.44803,1.62602,1.65535,0.65148,0.51425,0.57576,0.33085,1.55315,1.97202,1.79737,0.00136994,0.00136994,0.00136994
11,347.248,1.41465,1.58868,1.62996,0.658,0.5703,0.61635,0.35399,1.5249,1.73148,1.7687,0.00133693,0.00133693,0.00133693
12,381.459,1.40325,1.56088,1.61887,0.68527,0.53908,0.6088,0.33824,1.56101,1.81341,1.79235,0.00130393,0.00130393,0.00130393
13,415.153,1.38822,1.52696,1.6081,0.71718,0.51833,0.60971,0.34552,1.5459,1.74638,1.77027,0.00127092,0.00127092,0.00127092
14,448.403,1.387,1.49383,1.60684,0.68798,0.57599,0.64383,0.36765,1.51088,1.55835,1.71987,0.00123791,0.00123791,0.00123791
15,481.995,1.36691,1.48454,1.59488,0.70549,0.55798,0.64764,0.36763,1.47789,1.70939,1.72448,0.00120491,0.00120491,0.00120491
16,512.473,1.35533,1.45314,1.58524,0.71286,0.57028,0.64634,0.37735,1.47759,1.49483,1.70843,0.0011719,0.0011719,0.0011719
17,543.034,1.33787,1.40271,1.56344,0.72614,0.59162,0.66734,0.39593,1.42136,1.48215,1.66114,0.00113889,0.00113889,0.00113889
18,573.642,1.32529,1.39657,1.5612,0.74364,0.60408,0.68208,0.40614,1.42558,1.47774,1.65564,0.00110589,0.00110589,0.00110589
19,606.209,1.31212,1.35751,1.551,0.71619,0.60599,0.6752,0.40679,1.42799,1.42585,1.66636,0.00107288,0.00107288,0.00107288
20,646.914,1.3107,1.34817,1.54335,0.71841,0.61979,0.69428,0.42232,1.40774,1.41118,1.63138,0.00103987,0.00103987,0.00103987
21,678.629,1.29502,1.32077,1.53036,0.71469,0.60987,0.68901,0.40953,1.43078,1.41351,1.66371,0.00100687,0.00100687,0.00100687
22,710.204,1.26812,1.28559,1.50846,0.75352,0.6355,0.72157,0.43722,1.41425,1.30544,1.66083,0.000973861,0.000973861,0.000973861
23,742.311,1.2778,1.2882,1.51889,0.75319,0.64811,0.72673,0.4351,1.38574,1.34738,1.60947,0.000940855,0.000940855,0.000940855
24,776.38,1.25786,1.24456,1.49025,0.75751,0.64241,0.71907,0.43822,1.37424,1.37148,1.62079,0.000907848,0.000907848,0.000907848
25,826.825,1.23546,1.22473,1.48179,0.7821,0.62108,0.71568,0.44532,1.33583,1.29767,1.58446,0.000874842,0.000874842,0.000874842
26,879.812,1.23162,1.21793,1.48162,0.73421,0.64766,0.72241,0.44837,1.38071,1.3174,1.61395,0.000841835,0.000841835,0.000841835
27,931.13,1.2281,1.20237,1.48111,0.73959,0.67094,0.73557,0.45741,1.34886,1.22779,1.59248,0.000808828,0.000808828,0.000808828
28,984.553,1.20958,1.15763,1.46481,0.75962,0.67203,0.74502,0.46222,1.35114,1.23962,1.58736,0.000775822,0.000775822,0.000775822
29,1037.89,1.22431,1.18258,1.47117,0.78128,0.66942,0.75113,0.47097,1.3051,1.22199,1.55297,0.000742815,0.000742815,0.000742815
30,1083.61,1.19933,1.14421,1.45217,0.78905,0.66554,0.749,0.46411,1.37178,1.22238,1.59206,0.000709809,0.000709809,0.000709809
31,1132.25,1.18066,1.14085,1.44967,0.81332,0.65587,0.7545,0.46551,1.34796,1.23312,1.58146,0.000676802,0.000676802,0.000676802
32,1184.53,1.17827,1.12216,1.4377,0.80503,0.67848,0.7696,0.47439,1.32337,1.17526,1.54633,0.000643795,0.000643795,0.000643795
33,1232.51,1.16889,1.09571,1.43408,0.79576,0.68757,0.76506,0.47235,1.3434,1.20339,1.5545,0.000610789,0.000610789,0.000610789
34,1269.82,1.17462,1.09407,1.43544,0.75099,0.68667,0.74732,0.47047,1.33521,1.19541,1.57214,0.000577782,0.000577782,0.000577782
35,1322.91,1.15296,1.07955,1.42001,0.79367,0.70822,0.76762,0.48012,1.31393,1.15497,1.55813,0.000544776,0.000544776,0.000544776
36,1376.07,1.15451,1.06162,1.41441,0.77219,0.7071,0.76693,0.48523,1.28565,1.16146,1.52614,0.000511769,0.000511769,0.000511769
37,1429.32,1.13715,1.05116,1.41079,0.82256,0.70097,0.78184,0.49281,1.32167,1.13298,1.5579,0.000478762,0.000478762,0.000478762
38,1482.49,1.12625,1.04021,1.40602,0.80725,0.68589,0.77029,0.4881,1.32656,1.14203,1.55336,0.000445756,0.000445756,0.000445756
39,1530.44,1.11936,1.02201,1.39644,0.81855,0.68082,0.78027,0.49726,1.30526,1.11572,1.54228,0.000412749,0.000412749,0.000412749
40,1583.68,1.12186,1.03189,1.4007,0.78187,0.70901,0.78184,0.50297,1.29224,1.09194,1.54048,0.000379743,0.000379743,0.000379743
41,1654.41,1.14972,0.90242,1.45618,0.79056,0.71987,0.78706,0.5057,1.26518,1.1043,1.51111,0.000346736,0.000346736,0.000346736
42,1707.43,1.12635,0.84251,1.44167,0.80763,0.72643,0.78713,0.50779,1.26645,1.07926,1.51297,0.000313729,0.000313729,0.000313729
43,1760.68,1.10278,0.81972,1.41535,0.78092,0.7219,0.7785,0.50486,1.28208,1.10158,1.52156,0.000280723,0.000280723,0.000280723
44,1813.32,1.0789,0.79784,1.39862,0.80245,0.71243,0.78384,0.51217,1.26894,1.06806,1.50685,0.000247716,0.000247716,0.000247716
45,1866.43,1.07008,0.79637,1.3958,0.7928,0.7222,0.79335,0.51054,1.27513,1.07456,1.51823,0.00021471,0.00021471,0.00021471
46,1919.36,1.04122,0.76809,1.37372,0.79578,0.73511,0.79463,0.51572,1.26801,1.04505,1.51703,0.000181703,0.000181703,0.000181703
47,1972.34,1.04037,0.74513,1.3747,0.80925,0.72602,0.79868,0.51854,1.26944,1.03805,1.51963,0.000148696,0.000148696,0.000148696
48,2024.92,1.02079,0.74124,1.35679,0.83201,0.72177,0.80431,0.52415,1.26318,1.02053,1.51274,0.00011569,0.00011569,0.00011569
49,2077.47,1.01657,0.7273,1.35101,0.83975,0.71887,0.80305,0.52807,1.2534,1.01077,1.50233,8.26832e-05,8.26832e-05,8.26832e-05
50,2129.99,1.0044,0.71424,1.33945,0.83208,0.72941,0.8066,0.52868,1.24843,1.01459,1.49849,4.96766e-05,4.96766e-05,4.96766e-05
