epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1401,1.38554,3.75427,1.20529,0.0047,0.72,0.4599,0.32316,1.13573,3.83412,1.09116,0.00013336,0.00013336,0.00013336
2,58.8016,1.3806,2.45341,1.13944,0.00579,0.92,0.47649,0.30481,1.19872,3.60336,1.07309,0.000277779,0.000277779,0.000277779
3,84.8424,1.37184,1.94132,1.1296,0.00592,0.94,0.48483,0.33333,1.16079,3.60657,1.07181,0.000416257,0.000416257,0.000416257
4,110.531,1.42064,1.74546,1.13541,0.00592,0.94,0.48267,0.3089,1.36437,3.6338,1.1934,0.000548793,0.000548793,0.000548793
5,136.093,1.37644,1.71177,1.13423,0.00513,0.80077,0.42271,0.25031,1.38114,3.64517,1.18784,0.000675388,0.000675388,0.000675388
6,161.29,1.36937,1.58541,1.14751,1,0.08876,0.4457,0.31459,1.21987,3.5421,1.17489,0.000796043,0.000796043,0.000796043
7,187.283,1.29593,1.56104,1.13611,1,0.15025,0.42406,0.24778,1.41703,3.58404,1.27609,0.000910755,0.000910755,0.000910755
8,213.245,1.34101,1.45074,1.11371,0.9112,0.15385,0.27946,0.17574,1.33788,3.60658,1.2448,0.00101953,0.00101953,0.00101953
9,239.274,1.27924,1.41723,1.07719,0.72822,0.07692,0.15373,0.07138,1.40153,3.7297,1.2892,0.00112236,0.00112236,0.00112236
10,265.194,1.34985,1.46551,1.14479,0.82435,0.31978,0.39749,0.23365,1.32088,3.17738,1.1871,0.00121925,0.00121925,0.00121925
11,291.086,1.36211,1.47496,1.1558,0.77808,0.46835,0.65859,0.40112,1.19653,2.62688,1.12983,0.0013102,0.0013102,0.0013102
12,316.837,1.32247,1.3835,1.12547,0.73427,0.59535,0.72001,0.47036,1.24899,2.26632,1.18369,0.00130393,0.00130393,0.00130393
13,344.462,1.28609,1.38937,1.10599,0.70179,0.59734,0.74622,0.49867,1.22017,2.0789,1.13044,0.00127092,0.00127092,0.00127092
14,370.442,1.29791,1.31789,1.10804,0.89165,0.68077,0.81325,0.55807,1.1471,1.92304,1.07683,0.00123791,0.00123791,0.00123791
15,396.16,1.21853,1.26839,1.08194,0.78255,0.81488,0.85973,0.56999,1.1301,1.75142,1.06881,0.00120491,0.00120491,0.00120491
16,422.24,1.21357,1.27106,1.07192,0.88318,0.81249,0.8567,0.57886,1.1298,1.70787,1.08902,0.0011719,0.0011719,0.0011719
17,448.63,1.1963,1.21792,1.07977,0.90805,0.80195,0.87837,0.62288,1.08703,1.64241,1.07589,0.00113889,0.00113889,0.00113889
18,474.413,1.20667,1.1944,1.10167,0.83207,0.82042,0.8933,0.60963,1.11704,1.63213,1.11164,0.00110589,0.00110589,0.00110589
19,499.942,1.19145,1.16258,1.0903,0.88294,0.80077,0.90005,0.61271,1.12976,1.39708,1.13403,0.00107288,0.00107288,0.00107288
20,525.483,1.15713,1.10257,1.08204,0.84871,0.80846,0.88119,0.60826,1.11775,1.45481,1.12466,0.00103987,0.00103987,0.00103987
21,550.982,1.15146,1.1344,1.08988,0.89978,0.89572,0.9219,0.62416,1.08882,1.43898,1.10913,0.00100687,0.00100687,0.00100687
22,576.507,1.10657,1.05978,1.05881,0.86489,0.87927,0.93199,0.64643,1.04774,1.52412,1.05137,0.000973861,0.000973861,0.000973861
23,602.092,1.12631,1.0588,1.05324,0.83344,0.93086,0.91942,0.62187,1.06657,1.36664,1.07033,0.000940855,0.000940855,0.000940855
24,627.903,1.11781,1.06673,1.0581,0.86877,0.89907,0.93332,0.62984,1.11427,1.29346,1.05507,0.000907848,0.000907848,0.000907848
25,653.592,1.06967,1.03631,1.038,0.82648,0.93703,0.92904,0.63136,1.09609,1.24105,1.05833,0.000874842,0.000874842,0.000874842
26,680.445,1.09864,1.04001,1.05013,0.85865,0.88269,0.95066,0.66657,1.00748,1.16534,1.04348,0.000841835,0.000841835,0.000841835
27,706.232,1.07006,0.97445,1.03535,0.8522,0.91729,0.95329,0.67142,1.02075,1.1378,1.03307,0.000808828,0.000808828,0.000808828
28,731.967,1.093,0.96709,1.02077,0.93974,0.88154,0.96944,0.6666,1.05971,1.10038,1.05046,0.000775822,0.000775822,0.000775822
29,757.83,1.05751,0.90007,1.02707,0.90399,0.93084,0.95182,0.67393,1.01745,1.07207,1.0303,0.000742815,0.000742815,0.000742815
30,782.382,1.02639,0.86486,1.01123,0.8415,0.94,0.94819,0.68312,0.9847,1.05814,1.01267,0.000709809,0.000709809,0.000709809
31,808.903,1.02076,0.92931,1.01909,0.90558,0.86401,0.95042,0.69454,0.9465,1.00333,1.00236,0.000676802,0.000676802,0.000676802
32,835.51,1.01188,0.88951,1.01227,0.90613,0.90839,0.95933,0.71741,0.90764,0.98988,0.99205,0.000643795,0.000643795,0.000643795
33,861.969,0.98651,0.88763,0.99845,0.90231,0.92077,0.95447,0.72627,0.88374,0.96636,0.97874,0.000610789,0.000610789,0.000610789
34,888.433,0.97718,0.894,1.00238,0.92725,0.90077,0.96242,0.73271,0.87145,0.92156,0.97778,0.000577782,0.000577782,0.000577782
35,915.267,1.01459,0.85351,0.99849,0.93016,0.89965,0.96669,0.7306,0.86053,0.88952,0.9776,0.000544776,0.000544776,0.000544776
36,941.138,0.95211,0.83365,1.0174,0.91866,0.94771,0.97003,0.73833,0.84922,0.90354,0.97408,0.000511769,0.000511769,0.000511769
37,967.37,0.9547,0.81762,0.99685,0.95663,0.92077,0.96778,0.73266,0.88149,0.92792,0.98663,0.000478762,0.000478762,0.000478762
38,993.045,0.8934,0.81849,0.9835,0.94037,0.90077,0.96299,0.74216,0.85428,0.92069,0.98012,0.000445756,0.000445756,0.000445756
39,1017.97,0.99981,0.83152,1.0183,0.93216,0.90077,0.96691,0.75161,0.82625,0.89,0.96314,0.000412749,0.000412749,0.000412749
40,1043.21,0.91174,0.77123,0.9642,0.95005,0.91955,0.96604,0.7572,0.84553,0.8924,0.96208,0.000379743,0.000379743,0.000379743
41,1069.57,0.857,0.85867,0.95396,0.92846,0.94077,0.96754,0.7463,0.8684,0.89247,0.96852,0.000346736,0.000346736,0.000346736
42,1095.5,0.86092,0.82501,0.94286,0.95629,0.94829,0.97534,0.7558,0.85343,0.89965,0.97065,0.000313729,0.000313729,0.000313729
43,1120.86,0.84858,0.82827,0.93375,0.95923,0.94568,0.97798,0.76171,0.81715,0.87154,0.96374,0.000280723,0.000280723,0.000280723
44,1145.12,0.85506,0.84557,0.95271,0.96363,0.92077,0.97798,0.76077,0.78856,0.81587,0.95517,0.000247716,0.000247716,0.000247716
45,1169.41,0.78848,0.75614,0.92778,0.9347,0.94363,0.97751,0.76718,0.78198,0.81545,0.94831,0.00021471,0.00021471,0.00021471
46,1193.81,0.76721,0.74847,0.92327,0.93692,0.94591,0.97972,0.76397,0.79019,0.81349,0.95214,0.000181703,0.000181703,0.000181703
47,1218.36,0.78367,0.7463,0.91358,0.93707,0.94743,0.98046,0.76738,0.79977,0.80756,0.95627,0.000148696,0.000148696,0.000148696
48,1242.9,0.75623,0.74797,0.91523,0.93682,0.94572,0.98155,0.78144,0.79347,0.79708,0.95357,0.00011569,0.00011569,0.00011569
49,1267.49,0.73226,0.75499,0.92885,0.93548,0.94463,0.98127,0.77767,0.78334,0.78782,0.95062,8.26832e-05,8.26832e-05,8.26832e-05
50,1293.03,0.7576,0.72659,0.92035,0.96311,0.94181,0.98156,0.78066,0.77337,0.78829,0.94678,4.96766e-05,4.96766e-05,4.96766e-05
