epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.42505,1.43529,3.87848,1.23224,0.00376,0.56792,0.36098,0.26712,1.19307,3.42543,1.09164,0.00013336,0.00013336,0.00013336
2,8.97611,1.49757,2.67866,1.20973,0.95978,0.46053,0.47523,0.31382,1.36784,3.0927,1.12994,0.000277779,0.000277779,0.000277779
3,11.0151,1.4583,1.90211,1.15454,0.00427,0.59459,0.46978,0.29693,1.42989,3.17401,1.13545,0.000416257,0.000416257,0.000416257
4,12.9418,1.42306,1.8111,1.16775,0.00426,0.66252,0.46696,0.30335,1.35267,3.10922,1.12979,0.000548793,0.000548793,0.000548793
5,14.8306,1.32423,1.74372,1.13341,0.004,0.63549,0.44176,0.2968,1.31985,3.13582,1.12291,0.000675388,0.000675388,0.000675388
6,16.6938,1.42513,1.75394,1.17519,0.0041,0.649,0.17723,0.11979,1.34949,3.15149,1.17819,0.000796043,0.000796043,0.000796043
7,18.5885,1.3575,1.6647,1.1639,1,0.09837,0.27613,0.16683,1.39498,3.05963,1.22057,0.000910755,0.000910755,0.000910755
8,20.6268,1.36538,1.55606,1.16868,0.00429,0.66465,0.05837,0.03768,1.46026,3.22193,1.33585,0.00101953,0.00101953,0.00101953
9,22.6632,1.3602,1.56073,1.15951,0.54553,0.02632,0.06741,0.04031,1.51137,3.34093,1.34823,0.00112236,0.00112236,0.00112236
10,24.8009,1.2921,1.51212,1.14676,0.51342,0.01316,0.05175,0.03235,1.43463,3.34138,1.33018,0.00121925,0.00121925,0.00121925
11,26.7317,1.35439,1.52066,1.15075,0.72708,0.04555,0.11098,0.06698,1.53684,3.2167,1.38247,0.0013102,0.0013102,0.0013102
12,28.3122,1.29839,1.38263,1.1496,0.51014,0.27952,0.38793,0.20161,1.38377,2.50266,1.24747,0.00130393,0.00130393,0.00130393
13,29.8043,1.28419,1.32562,1.13317,0.7966,0.52466,0.7424,0.46832,1.27581,1.76594,1.18321,0.00127092,0.00127092,0.00127092
14,31.4537,1.31436,1.35645,1.16418,0.76927,0.63249,0.81236,0.50952,1.31421,1.62612,1.18838,0.00123791,0.00123791,0.00123791
15,33.2852,1.25058,1.2505,1.11614,0.79899,0.63691,0.78298,0.48421,1.29709,1.84169,1.16572,0.00120491,0.00120491,0.00120491
16,35.0883,1.18073,1.18283,1.11077,0.81813,0.72147,0.83553,0.55222,1.25315,1.50611,1.13224,0.0011719,0.0011719,0.0011719
17,36.9019,1.22232,1.24821,1.10764,0.77531,0.68138,0.77086,0.54041,1.21029,1.48956,1.11941,0.00113889,0.00113889,0.00113889
18,38.4409,1.19716,1.16665,1.09083,0.88574,0.82178,0.89104,0.60633,1.17299,1.1062,1.09929,0.00110589,0.00110589,0.00110589
